"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4022.108",NA,"R (>= 3.6.0)","graphics, utils, stats, methods",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"timetk","timetk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.8.2",NA,"R (>= 3.3.0)","recipes (>= 0.2.0), rsample, dplyr (>= 1.0.0), ggplot2,
forcats, stringr, plotly, lubridate (>= 1.6.0), padr (>=
0.5.2), purrr (>= 0.2.2), readr (>= 1.3.0), stringi (>= 1.4.6),
tibble (>= 3.0.3), tidyr (>= 1.1.0), xts (>= 0.9-7), zoo (>=
1.7-14), rlang (>= 0.4.7), tidyselect (>= 1.1.0), slider,
anytime, timeDate, forecast, tsfeatures, hms, assertthat,
generics",NA,"tidyquant, tidymodels, modeltime, workflows, parsnip, tune,
yardstick, tidyverse, knitr, rmarkdown, robets, broom, scales,
testthat, fracdiff, timeSeries, tseries, trelliscopejs,
roxygen2, covr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.44",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10-53",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"tsfeatures","tsfeatures","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1",NA,"R (>= 3.6.0)","fracdiff, forecast (>= 8.3), purrr, RcppRoll (>= 0.2.2),
stats, tibble, tseries, urca, future, furrr",NA,"testthat, knitr, rmarkdown, ggplot2, tidyr, dplyr, Mcomp,
GGally",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.24.3",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.2",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.4.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-3",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"urlchecker","urlchecker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.6",NA,"R (>= 3.4)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.0), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.0.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2 (>=
7.1.2), spelling (>= 1.2), styler (>= 1.2.0), testthat (>=
3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.3",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"vctrs","vctrs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.1",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"viridis","viridis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.2",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"vroom","vroom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.1",NA,"R (>= 3.4)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"waldo","waldo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.0",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"warp","warp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 3.2)",NA,NA,"covr, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"webshot","webshot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.4",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"WGCNA","WGCNA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.72-1",NA,"R (>= 3.0), dynamicTreeCut (>= 1.62), fastcluster","stats, grDevices, utils, matrixStats (>= 0.8.1), Hmisc,
impute, splines, foreach, doParallel, preprocessCore, survival,
parallel, GO.db, AnnotationDbi, Rcpp (>= 0.11.0)","Rcpp","org.Hs.eg.db, org.Mm.eg.db, infotheo, entropy, minet",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"writexl","writexl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xfun","xfun","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.37",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown (>= 1.5), knitr (>= 1.42), htmltools, remotes,
pak, rhub, renv, curl, jsonlite, magick, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xlsx","xlsx","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.5",NA,NA,"rJava, xlsxjars, grDevices, utils",NA,"rprojroot, testthat, covr, tibble, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"xlsxjars","xlsxjars","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.1",NA,"rJava",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"XML","XML","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.99-0.14",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.3",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xmlparsedata","xmlparsedata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.5",NA,"R (>= 3.0.0)",NA,NA,"covr, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"xopen","xopen","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"xts","xts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.13.0",NA,"R (>= 3.6.0), zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, tis, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.7",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"zip","zip","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.2",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"zoo","zoo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8-11",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
